Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
Asia Pacific,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,"13,038.5","8,773.2","3,918.1","2,578.3","2,317.1"
Asia Pacific,Mobile Phones,Intex (Intex Technologies (India) Ltd),Intex Technologies (India) Ltd,Retail Volume,000 units,"11,994.9","5,705.4","2,719.4","1,894.5","1,774.1"
Asia Pacific,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,"2,728.4","2,141.3","2,748.4","2,711.4","1,589.3"
Asia Pacific,Mobile Phones,Panasonic (Panasonic Corp),Panasonic Corp,Retail Volume,000 units,"4,923.8","4,684.2","2,789.3","1,618.5","1,564.5"
Asia Pacific,Mobile Phones,Celkon (Celkon Impex Pvt Ltd),Celkon Impex Pvt Ltd,Retail Volume,000 units,"2,526.4","2,009.5","1,695.9","1,440.9","1,470.3"
Asia Pacific,Mobile Phones,Fujitsu (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,-,-,-,-,"1,387.8"
Asia Pacific,Mobile Phones,Newsmy (Beijing Newman Ideal Digital Technology Co Ltd),Beijing Newman Ideal Digital Technology Co Ltd,Retail Volume,000 units,787.7,835.0,920.2,976.8,"1,005.3"
Asia Pacific,Mobile Phones,Cherry (Cosmic Technologies Inc),Cosmic Technologies Inc,Retail Volume,000 units,"2,653.8","2,023.9","1,567.8","1,230.8",982.8
Asia Pacific,Mobile Phones,iBall (Best IT World (India) Pvt Ltd),Best IT World (India) Pvt Ltd,Retail Volume,000 units,"1,633.3","1,315.4","1,107.5",945.0,959.2
Asia Pacific,Mobile Phones,Karbonn (Karbonn Mobile India Pvt Ltd),Karbonn Mobile India Pvt Ltd,Retail Volume,000 units,"7,076.0","4,363.5","1,431.0",900.2,777.7
Asia Pacific,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,"1,553.3","1,408.1","1,342.2",960.1,726.0
Asia Pacific,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,"3,631.1","1,956.4","1,425.2",955.4,719.4
Asia Pacific,Mobile Phones,Kyocera (Kyocera Corp),Kyocera Corp,Retail Volume,000 units,901.6,913.3,941.7,517.9,467.2
Asia Pacific,Mobile Phones,Meizu (Meizu Telecom Equipment Co Ltd),Meizu Telecom Equipment Co Ltd,Retail Volume,000 units,"4,876.0","2,438.0","1,150.7",588.0,454.3
Asia Pacific,Mobile Phones,myPhone (Solid Group Inc),Solid Group Inc,Retail Volume,000 units,"1,751.3","1,253.9",503.0,434.4,396.3
Asia Pacific,Mobile Phones,Nexian (Metrotech Jaya Komunika Indonesia PT),Metrotech Jaya Komunika Indonesia PT,Retail Volume,000 units,"1,125.0",952.9,686.1,505.5,366.5
Asia Pacific,Mobile Phones,Nubia (Nubia Technology Co Ltd),Nubia Technology Co Ltd,Retail Volume,000 units,702.0,391.7,440.7,381.4,352.4
Asia Pacific,Mobile Phones,Coolpad (Yulong Computer Communication Technology (Shenzhen) Co Ltd),Yulong Computer Communication Technology (Shenzhen) Co Ltd,Retail Volume,000 units,180.0,117.0,104.2,307.3,224.6
Asia Pacific,Mobile Phones,Maxx (Maxx Moblink Pvt Ltd),Maxx Moblink Pvt Ltd,Retail Volume,000 units,"2,118.0","1,179.3",458.6,205.1,179.9
Asia Pacific,Mobile Phones,Wiko (Tinno Mobile Technology Corp),Tinno Mobile Technology Corp,Retail Volume,000 units,984.2,343.3,174.2,138.9,122.1
Asia Pacific,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,865.6,226.9,179.5,99.2,85.4
Asia Pacific,Mobile Phones,Spice (Spice Group),Spice Group,Retail Volume,000 units,"1,512.8",842.3,285.5,87.9,60.0
Asia Pacific,Mobile Phones,Gionee (Gionee Communication Equipment Co Ltd),Gionee Communication Equipment Co Ltd,Retail Volume,000 units,751.0,225.0,121.7,78.7,55.8
Asia Pacific,Mobile Phones,K-Touch (Beijing Tianyu Communication Equipment Co Ltd),Beijing Tianyu Communication Equipment Co Ltd,Retail Volume,000 units,46.0,41.0,97.0,52.3,42.1
Asia Pacific,Mobile Phones,Evercoss (Aries Indo Global PT),Aries Indo Global PT,Retail Volume,000 units,346.5,175.1,91.1,40.4,33.5
Asia Pacific,Mobile Phones,Advan (Intech Surya Abadi PT),Intech Surya Abadi PT,Retail Volume,000 units,563.0,201.6,73.4,19.3,11.5
Asia Pacific,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,"4,375.8","3,231.5","1,039.4",95.5,0.1
Asia Pacific,Mobile Phones,Fujitsu (FCNT Ltd),FCNT Ltd,Retail Volume,000 units,-,-,"1,392.4","2,005.1",-
Asia Pacific,Mobile Phones,Fujitsu (Fujitsu Connected Technologies Ltd),Fujitsu Connected Technologies Ltd,Retail Volume,000 units,"1,272.9","1,476.6",-,-,-
Asia Pacific,Mobile Phones,Fujitsu (Fujitsu Ltd),Fujitsu Ltd,Retail Volume,000 units,-,-,-,-,-
Asia Pacific,Mobile Phones,I-Mobile (Samart Corp Plc),Samart Corp Plc,Retail Volume,000 units,-,-,-,-,-
Asia Pacific,Mobile Phones,"Letv (Leshi Internet Information & Technology Corp, Beijing)","Leshi Internet Information & Technology Corp, Beijing",Retail Volume,000 units,-,-,-,-,-
Asia Pacific,Mobile Phones,Meitu (Meitu Inc),Meitu Inc,Retail Volume,000 units,289.0,-,-,-,-
Asia Pacific,Mobile Phones,Sharp (Sharp Corp),Sharp Corp,Retail Volume,000 units,-,-,-,-,-
Asia Pacific,Mobile Phones,TCL (TCL Corp),TCL Corp,Retail Volume,000 units,24.2,-,-,-,-
Asia Pacific,Mobile Phones,Videocon (Videocon Industries Ltd),Videocon Industries Ltd,Retail Volume,000 units,-,-,-,-,-
Asia Pacific,Mobile Phones,Vsmart (Masan Group Corp),Masan Group Corp,Retail Volume,000 units,600.0,"1,950.0",650.0,5.0,-
Asia Pacific,Mobile Phones,Others,Others,Retail Volume,000 units,"91,029.1","57,601.6","63,782.9","62,072.0","64,803.3"
Asia Pacific,Mobile Phones,Total,Total,Retail Volume,000 units,"890,103.4","804,108.6","806,109.6","714,077.5","679,528.6"
Asia Pacific,Retail,Others,Others,Retail Value RSP excl Sales Tax,USD million,"4,952,719.1","4,589,246.9","5,012,243.3","4,760,674.2","4,758,294.1"
Asia Pacific,Retail,Total,Total,Retail Value RSP excl Sales Tax,USD million,"6,132,219.5","5,980,634.7","6,682,385.8","6,658,727.2","6,703,174.3"
Asia Pacific,Retail Offline,Others,Others,Retail Value RSP excl Sales Tax,USD million,"4,656,662.1","4,281,155.7","4,695,165.7","4,443,043.3","4,434,072.1"
Asia Pacific,Retail Offline,Total,Total,Retail Value RSP excl Sales Tax,USD million,"5,114,565.2","4,734,591.5","5,161,037.0","4,873,677.8","4,860,225.4"
Asia Pacific,Non-Grocery Retailers,Others,Others,Retail Value RSP excl Sales Tax,USD million,"2,046,689.6","1,777,770.0","1,979,616.2","1,850,773.6","1,855,185.7"
Asia Pacific,Non-Grocery Retailers,Total,Total,Retail Value RSP excl Sales Tax,USD million,"2,351,508.3","2,067,996.4","2,290,696.5","2,132,909.4","2,140,144.7"
Asia Pacific,Appliances and Electronics Specialists,D Phone (Beijing Digital Telecom Co Ltd),Beijing Digital Telecom Co Ltd,Retail Value RSP excl Sales Tax,USD million,"1,228.2",999.6,744.8,908.0,"1,134.6"
Asia Pacific,Appliances and Electronics Specialists,Others,Others,Retail Value RSP excl Sales Tax,USD million,"236,434.4","203,887.4","218,727.9","217,960.0","214,206.6"
Asia Pacific,Appliances and Electronics Specialists,Total,Total,Retail Value RSP excl Sales Tax,USD million,"327,501.7","291,577.3","308,711.1","291,108.9","282,160.1"
Asia Pacific,Retail E-Commerce,Others,Others,Retail Value RSP excl Sales Tax,USD million,"181,960.9","182,004.8","176,068.8","174,737.5","178,776.0"
Asia Pacific,Retail E-Commerce,Total,Total,Retail Value RSP excl Sales Tax,USD million,"1,017,654.3","1,246,043.2","1,521,348.8","1,785,049.4","1,842,948.9"
China,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"32,490.0","33,018.0","47,476.6","46,273.2","45,347.7"
China,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"65,415.0","57,415.0","71,022.4","52,992.5","44,061.0"
China,Mobile Phones,Honor (Shenzhen Zhixin New Information Technology Co Ltd),Shenzhen Zhixin New Information Technology Co Ltd,Retail Volume,000 units,-,-,"35,898.0","48,823.9","44,019.0"
China,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"64,219.0","57,348.0","69,792.5","48,484.2","38,513.7"
China,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,"39,227.0","38,442.0","48,959.7","38,996.3","35,942.0"
China,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,"136,870.4","119,847.0","32,957.9","23,573.5","31,514.2"
China,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,"1,987.1","9,538.0","6,398.7","5,975.3"
China,Mobile Phones,OnePlus (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,"1,250.0","2,375.0","2,066.3","5,165.6"
China,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"3,800.1","2,339.7","1,922.2","1,753.2","1,686.3"
China,Mobile Phones,Newsmy (Beijing Newman Ideal Digital Technology Co Ltd),Beijing Newman Ideal Digital Technology Co Ltd,Retail Volume,000 units,787.7,835.0,920.2,976.8,"1,005.3"
China,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,"1,318.7","1,221.2","1,168.3",833.8,642.1
China,Mobile Phones,Meizu (Meizu Telecom Equipment Co Ltd),Meizu Telecom Equipment Co Ltd,Retail Volume,000 units,"4,876.0","2,438.0","1,150.7",588.0,454.3
China,Mobile Phones,Motorola (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,230.0,184.0,384.2,402.7,436.3
China,Mobile Phones,Nubia (Nubia Technology Co Ltd),Nubia Technology Co Ltd,Retail Volume,000 units,702.0,391.7,440.7,381.4,352.4
China,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,674.0,527.6,340.2,288.0,288.1
China,Mobile Phones,Coolpad (Yulong Computer Communication Technology (Shenzhen) Co Ltd),Yulong Computer Communication Technology (Shenzhen) Co Ltd,Retail Volume,000 units,180.0,117.0,104.2,307.3,224.6
China,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,126.0,95.0,105.6,94.5,84.9
China,Mobile Phones,Gionee (Gionee Communication Equipment Co Ltd),Gionee Communication Equipment Co Ltd,Retail Volume,000 units,751.0,225.0,121.7,78.7,55.8
China,Mobile Phones,K-Touch (Beijing Tianyu Communication Equipment Co Ltd),Beijing Tianyu Communication Equipment Co Ltd,Retail Volume,000 units,46.0,41.0,97.0,52.3,42.1
China,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,101.0,39.0,38.4,31.2,27.3
China,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,"2,178.0","1,506.8",439.5,94.6,14.3
China,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,147.0,-,-,-,-
China,Mobile Phones,"Letv (Leshi Internet Information & Technology Corp, Beijing)","Leshi Internet Information & Technology Corp, Beijing",Retail Volume,000 units,-,-,-,-,-
China,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,-,-,-,-,-
China,Mobile Phones,Meitu (Meitu Inc),Meitu Inc,Retail Volume,000 units,289.0,-,-,-,-
China,Mobile Phones,TCL (TCL Corp),TCL Corp,Retail Volume,000 units,21.9,-,-,-,-
China,Mobile Phones,Others,Others,Retail Volume,000 units,"16,324.4","6,867.4","5,044.8","5,651.1","5,152.7"
China,Mobile Phones,Total,Total,Retail Volume,000 units,"370,774.2","326,135.5","330,298.0","279,142.1","261,005.0"
China,Retail,Others,Others,Retail Value RSP excl Sales Tax,CNY million,"16,824,135.2","15,490,202.0","16,712,126.0","16,012,388.0","16,355,483.7"
