Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
India,Mobile Phones,JioPhone (Reliance Jio infocomm Ltd),Reliance Jio infocomm Ltd,Retail Volume,000 units,37435.9,20653,9595.8,6680.7,6594.5
India,Mobile Phones,OnePlus (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,1430.1,1681.3,2192.1,3247.1,4721.7
India,Mobile Phones,Infinix (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,-,-,3200.1,3549.2,4603.7
India,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,2607.4,3739.8,3980.2,4028.9,4338.9
India,Mobile Phones,Tecno (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,-,-,3360.1,3685.1,4279.1
India,Mobile Phones,Micromax (Micromax Informatics Ltd),Micromax Informatics Ltd,Retail Volume,000 units,6807.7,5382.9,4197.8,3817.2,3922.2
India,Mobile Phones,Intex (Intex Technologies (India) Ltd),Intex Technologies (India) Ltd,Retail Volume,000 units,11994.9,5705.4,2719.4,1894.5,1774.1
India,Mobile Phones,Celkon (Celkon Impex Pvt Ltd),Celkon Impex Pvt Ltd,Retail Volume,000 units,2526.4,2009.5,1695.9,1440.9,1470.3
India,Mobile Phones,Panasonic (Panasonic Corp),Panasonic Corp,Retail Volume,000 units,4637.4,4420.8,2640.1,1525.4,1469.3
India,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,8063.5,5535.1,2096.1,1303.3,1193.6
India,Mobile Phones,iBall (Best IT World (India) Pvt Ltd),Best IT World (India) Pvt Ltd,Retail Volume,000 units,1633.3,1315.4,1107.5,945,959.2
India,Mobile Phones,Karbonn (Karbonn Mobile India Pvt Ltd),Karbonn Mobile India Pvt Ltd,Retail Volume,000 units,7076,4363.5,1431,900.2,777.7
India,Mobile Phones,Maxx (Maxx Moblink Pvt Ltd),Maxx Moblink Pvt Ltd,Retail Volume,000 units,2118,1179.2,458.6,205.1,179.9
India,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,1245,620.4,320,166.7,150.7
India,Mobile Phones,Spice (Spice Group),Spice Group,Retail Volume,000 units,1512.8,842.3,285.5,87.9,60
India,Mobile Phones,Gionee (Gionee Communication Equipment Co Ltd),Gionee Communication Equipment Co Ltd,Retail Volume,000 units,-,-,-,-,-
India,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,-,-,-,-,-
India,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,-,-,-,-,-
India,Mobile Phones,Videocon (Videocon Industries Ltd),Videocon Industries Ltd,Retail Volume,000 units,-,-,-,-,-
India,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,-,-,-,-,-
India,Mobile Phones,Others,Others,Retail Volume,000 units,21451.5,9308.3,15448.2,14483.6,20474.5
India,Mobile Phones,Total,Total,Retail Volume,000 units,287252.4,254811.3,246530.3,224280.9,222492.1
India,Retail,Others,Others,Retail Value RSP excl Sales Tax,INR million,44738444.9,41106183,45036894,50857381,56535373.6
India,Retail,Total,Total,Retail Value RSP excl Sales Tax,INR million,47888036.5,44565528.1,49394255.2,56172381.9,62729811.9
India,Retail Offline,Others,Others,Retail Value RSP excl Sales Tax,INR million,44507436.6,40738884.3,44688336.8,50322680.2,55740692.9
India,Retail Offline,Total,Total,Retail Value RSP excl Sales Tax,INR million,45762162.4,41843542.2,46001641.6,51924829.8,57543550.7
India,Non-Grocery Retailers,Others,Others,Retail Value RSP excl Sales Tax,INR million,15787399,12701812.3,14571965.9,16730714.7,18689833.2
India,Non-Grocery Retailers,Total,Total,Retail Value RSP excl Sales Tax,INR million,16881072.6,13675627.2,15675785.2,18036747.2,20174104.3
India,Appliances and Electronics Specialists,Others,Others,Retail Value RSP excl Sales Tax,INR million,2686573.1,2450651.5,2633822.7,2884975.4,3171143
India,Appliances and Electronics Specialists,Total,Total,Retail Value RSP excl Sales Tax,INR million,3109331.8,2882350.6,3078238.5,3401453.6,3735476.3
India,Retail E-Commerce,Others,Others,Retail Value RSP excl Sales Tax,INR million,52797.9,224319,162586.8,255986.4,461384
India,Retail E-Commerce,Total,Total,Retail Value RSP excl Sales Tax,INR million,2125874.1,2721985.9,3392613.6,4247552.2,5186261.2
Indonesia,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,9983.1,6765.9,7592.5,7380.1,6945.3
Indonesia,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,8690,8083.7,8871.4,7979.2,6566.9
Indonesia,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,6099.2,8534.8,7760.8,6485.3,5499.5
Indonesia,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,5181.6,6244.5,8419.3,5073.7,4997.6
Indonesia,Mobile Phones,Infinix (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,54.7,185.1,1230.6,3137.9,4433.9
Indonesia,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,2590.8,4496.5,5239.4,4233.4,3395.2
Indonesia,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,852.7,764,731.3,789.8,888.5
Indonesia,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,2147.3,1630.9,1193.8,804,597.8
Indonesia,Mobile Phones,Nexian (Metrotech Jaya Komunika Indonesia PT),Metrotech Jaya Komunika Indonesia PT,Retail Volume,000 units,1125,952.9,686.1,505.5,366.5
Indonesia,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,779.5,397.9,207,103.5,98.8
Indonesia,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,315.7,191,119.2,65.6,42.7
Indonesia,Mobile Phones,Evercoss (Aries Indo Global PT),Aries Indo Global PT,Retail Volume,000 units,346.5,175.1,91.1,40.4,33.5
Indonesia,Mobile Phones,Advan (Intech Surya Abadi PT),Intech Surya Abadi PT,Retail Volume,000 units,563,201.6,73.4,19.3,11.5
Indonesia,Mobile Phones,Andromax (Smartfren Telecom Tbk PT),Smartfren Telecom Tbk PT,Retail Volume,000 units,54.7,-,-,-,-
Indonesia,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,17.5,-,-,-,-
Indonesia,Mobile Phones,Hisense (Hisense Group),Hisense Group,Retail Volume,000 units,17.2,-,-,-,-
Indonesia,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,623.2,331.1,178.3,-,-
Indonesia,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,35,-,-,-,-
Indonesia,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,-,-,-,-,-
Indonesia,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,-,-,-,-,-
Indonesia,Mobile Phones,Others,Others,Retail Volume,000 units,1289.3,1019.8,909.3,662,535.9
Indonesia,Mobile Phones,Total,Total,Retail Volume,000 units,40766.1,39974.8,43303.5,37279.7,34413.7
Indonesia,Retail,Others,Others,Retail Value RSP excl Sales Tax,IDR billion,2013080.4,1453000,1476658.9,1594443.4,1668980.2
Indonesia,Retail,Total,Total,Retail Value RSP excl Sales Tax,IDR billion,2492746.5,2046834.7,2344816.7,2660727.5,2892457.9
Indonesia,Retail Offline,Others,Others,Retail Value RSP excl Sales Tax,IDR billion,1939862.8,1369809.1,1424295,1547482.1,1629699.5
